ang_estercamento,Aceleração X,Aceleração Y,Aceleração Z,Temperatura,Roll,Pitch,Yaw,Velocidade Angular X,Velocidade Angular Y,Velocidade Angular Z,Campo Magnetico X: ,Campo Magnetico Y: ,Campo Magnetico Z: ,Tempo: 
84.670,0.9666015625000001,2.0528320312500004,9.61337890625,31.05,15.1,-3.6,-177.1,0.0,0.0,0.0,234,-2794,4726,16:11:01.967708
84.670,1.0240234375000001,2.11025390625,9.60859375,31.05,15.1,-3.6,-177.1,0.0,0.0,0.0,224,-2785,4722,16:11:02.070649
84.670,0.9378906250000001,2.0528320312500004,9.59423828125,31.11,15.1,-3.6,-177.1,0.0,0.0,0.0,230,-2797,4734,16:11:02.165391
84.670,0.9426757812500001,2.0767578125000004,9.63251953125,30.99,15.1,-3.6,-177.1,0.0,0.0,0.0,235,-2801,4729,16:11:02.265427
84.670,0.9905273437500001,2.086328125,9.599023437500001,30.74,15.1,-3.6,-177.1,0.0,0.0,0.0,214,-2806,4693,16:11:02.367804
84.670,0.9378906250000001,2.0671875,9.627734375000001,31.18,15.1,-3.6,-177.1,0.0,0.0,0.0,229,-2793,4732,16:11:02.468861
84.670,0.95224609375,2.09111328125,9.56552734375,31.11,15.1,-3.6,-177.1,0.0,0.0,0.0,227,-2781,4713,16:11:02.565733
84.670,0.9378906250000001,2.0671875,9.589453125,31.05,15.1,-3.6,-177.1,-0.54931640625,0.1220703125,0.0,230,-2783,4701,16:11:02.661282
84.672,0.95224609375,2.08154296875,9.5703125,31.11,15.1,-3.6,-177.1,0.18310546875,0.1220703125,0.0,231,-2790,4733,16:11:02.765392
84.672,0.97138671875,2.0480468750000003,9.599023437500001,30.99,15.1,-3.6,-177.1,-0.244140625,0.30517578125,0.0,232,-2788,4717,16:11:02.866183
84.672,0.9378906250000001,2.0671875,9.599023437500001,31.05,15.1,-3.6,-177.1,0.0,0.18310546875,0.0,225,-2780,4721,16:11:02.962160
84.672,1.03359375,2.09111328125,9.589453125,31.05,15.1,-3.6,-177.1,-0.244140625,0.0,0.0,229,-2782,4712,16:11:03.059311
84.672,0.9618164062500001,2.04326171875,9.622949218750001,31.11,15.1,-3.6,-177.1,0.244140625,0.0,0.0,235,-2782,4737,16:11:03.160577
84.672,0.9618164062500001,2.03369140625,9.61337890625,30.99,15.1,-3.6,-177.1,0.0,0.06103515625,0.0,227,-2789,4711,16:11:03.258998
84.672,0.9187500000000001,2.0576171875,9.60859375,31.05,15.1,-3.6,-177.1,0.0,-0.244140625,0.0,236,-2777,4706,16:11:03.358632
84.670,0.9331054687500001,2.04326171875,9.5703125,31.11,15.1,-3.6,-177.1,0.18310546875,-0.06103515625,0.0,215,-2797,4705,16:11:03.452283
84.670,0.97138671875,2.0241210937500003,9.579882812500001,30.99,15.1,-3.6,-177.1,-0.1220703125,0.1220703125,0.0,214,-2807,4719,16:11:03.561184
84.670,0.8948242187500001,2.0671875,9.60859375,30.99,15.1,-3.6,-177.1,-0.06103515625,0.42724609375,0.0,213,-2801,4722,16:11:03.653792
84.670,0.9570312500000001,2.0671875,9.599023437500001,31.11,15.1,-3.6,-177.1,0.06103515625,0.0,0.0,221,-2794,4734,16:11:03.759284
84.670,0.97138671875,2.0576171875,9.5607421875,31.05,15.1,-3.6,-177.1,-0.1220703125,0.1220703125,0.0,214,-2786,4731,16:11:03.860666
84.670,0.92353515625,2.01455078125,9.5703125,31.11,15.1,-3.6,-177.1,-0.1220703125,0.54931640625,0.0,225,-2809,4716,16:11:03.957957
84.670,0.9666015625000001,2.03369140625,9.6181640625,31.11,15.1,-3.6,-177.1,-0.06103515625,0.30517578125,0.0,219,-2813,4697,16:11:04.053630
84.670,0.9331054687500001,2.06240234375,9.627734375000001,31.05,15.1,-3.6,-177.1,0.18310546875,0.0,0.0,232,-2800,4704,16:11:04.158967
84.670,0.9426757812500001,2.0528320312500004,9.599023437500001,31.05,15.1,-3.6,-177.1,-0.06103515625,0.1220703125,0.0,229,-2801,4719,16:11:04.252814
84.670,0.9618164062500001,2.0719726562500003,9.59423828125,31.05,15.1,-3.6,-177.1,0.0,0.18310546875,0.0,230,-2813,4724,16:11:04.357475
84.670,0.92353515625,2.0384765625,9.599023437500001,31.18,15.1,-3.6,-177.1,-0.06103515625,0.1220703125,0.0,230,-2805,4718,16:11:04.453395
84.670,0.9570312500000001,2.0767578125000004,9.599023437500001,31.11,15.1,-3.6,-177.1,-0.06103515625,-0.06103515625,0.0,226,-2814,4716,16:11:04.556438
84.670,0.9474609375,2.0528320312500004,9.60859375,30.99,15.1,-3.6,-177.1,-0.06103515625,0.0,0.0,225,-2797,4724,16:11:04.652607
84.670,0.9474609375,2.0576171875,9.622949218750001,31.05,15.1,-3.6,-177.1,0.18310546875,0.06103515625,0.0,217,-2802,4714,16:11:04.755468
84.670,0.9666015625000001,2.08154296875,9.599023437500001,31.05,15.1,-3.6,-177.1,0.0,0.06103515625,0.0,220,-2788,4714,16:11:04.852455
84.670,0.9474609375,2.06240234375,9.622949218750001,30.86,15.1,-3.6,-177.1,0.06103515625,-0.18310546875,0.0,209,-2806,4693,16:11:04.954524
84.670,0.9331054687500001,2.0384765625,9.58466796875,31.11,15.1,-3.6,-177.1,-0.18310546875,-0.244140625,0.0,211,-2799,4707,16:11:05.053200
84.670,0.9570312500000001,2.0528320312500004,9.61337890625,31.05,15.1,-3.6,-177.1,0.0,0.18310546875,0.0,214,-2789,4709,16:11:05.153788
84.670,0.9666015625000001,2.06240234375,9.59423828125,31.24,15.1,-3.6,-177.1,0.1220703125,-0.06103515625,0.0,203,-2803,4709,16:11:05.250852
84.705,0.9426757812500001,2.0767578125000004,9.5607421875,31.05,15.1,-3.6,-177.1,0.0,0.30517578125,0.0,206,-2813,4747,16:11:05.355595
